Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Poor,Intermediate,Beginner,Poor,Professional,Intermediate,Poor,Beginner,Average,Poor,Intermediate,Poor,Average,Poor,Average,Average,Professional,Average,Medical Representative
Beginner,Poor,Average,Average,Average,Average,Professional,Professional,Average,Intermediate,Poor,Average,Beginner,Intermediate,Poor,Professional,Poor,Average,Medical Representative
Beginner,Average,Beginner,Average,Average,Average,Poor,Intermediate,Average,Professional,Beginner,Professional,Professional,Poor,Beginner,Professional,Professional,Average,Medical Representative
Average,Poor,Average,Intermediate,Average,Average,Professional,Intermediate,Professional,Intermediate,Poor,Intermediate,Professional,Average,Poor,Beginner,Professional,Poor,Medical Representative
Average,Average,Average,Average,Average,Intermediate,Beginner,Average,Professional,Beginner,Beginner,Professional,Beginner,Poor,Average,Poor,Professional,Poor,Medical Representative
Intermediate,Average,Beginner,Professional,Intermediate,Average,Intermediate,Average,Average,Average,Average,Average,Intermediate,Average,Average,Poor,Poor,Beginner,Medical Representative
Poor,Professional,Beginner,Poor,Poor,Intermediate,Beginner,Intermediate,Average,Poor,Professional,Professional,Intermediate,Beginner,Average,Intermediate,Poor,Intermediate,Medical Representative
Intermediate,Professional,Professional,Intermediate,Poor,Professional,Average,Poor,Professional,Intermediate,Poor,Professional,Beginner,Beginner,Intermediate,Beginner,Intermediate,Beginner,Medical Representative
Beginner,Professional,Professional,Average,Intermediate,Intermediate,Professional,Poor,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Average,Professional,Medical Representative
Poor,Professional,Average,Average,Average,Beginner,Average,Beginner,Beginner,Professional,Poor,Beginner,Poor,Intermediate,Poor,Beginner,Beginner,Professional,Medical Representative
Professional,Poor,Poor,Poor,Average,Professional,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Professional,Beginner,Intermediate,Beginner,Intermediate,Poor,Medical Representative
Intermediate,Poor,Professional,Intermediate,Professional,Poor,Poor,Professional,Intermediate,Professional,Average,Professional,Professional,Poor,Intermediate,Professional,Beginner,Intermediate,Medical Representative
Poor,Professional,Professional,Poor,Average,Professional,Poor,Average,Poor,Professional,Professional,Beginner,Poor,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Medical Representative
Professional,Poor,Average,Beginner,Intermediate,Poor,Poor,Average,Average,Average,Beginner,Intermediate,Poor,Intermediate,Professional,Poor,Professional,Beginner,Medical Representative
Beginner,Intermediate,Intermediate,Poor,Beginner,Average,Poor,Poor,Professional,Intermediate,Professional,Professional,Poor,Poor,Professional,Beginner,Professional,Professional,Medical Representative
Poor,Intermediate,Professional,Intermediate,Average,Poor,Professional,Professional,Poor,Professional,Intermediate,Professional,Poor,Professional,Professional,Average,Beginner,Professional,Medical Representative
Poor,Average,Beginner,Professional,Beginner,Poor,Professional,Beginner,Professional,Average,Average,Average,Professional,Average,Professional,Beginner,Professional,Beginner,Medical Representative
Poor,Professional,Poor,Beginner,Average,Average,Professional,Poor,Intermediate,Beginner,Average,Intermediate,Beginner,Intermediate,Poor,Poor,Intermediate,Intermediate,Medical Representative
Intermediate,Beginner,Intermediate,Average,Poor,Poor,Beginner,Poor,Beginner,Average,Professional,Average,Average,Average,Average,Professional,Professional,Average,Medical Representative
Poor,Poor,Professional,Average,Professional,Intermediate,Professional,Beginner,Intermediate,Beginner,Poor,Beginner,Average,Average,Intermediate,Poor,Poor,Intermediate,Medical Representative
Beginner,Professional,Intermediate,Poor,Intermediate,Professional,Beginner,Average,Poor,Professional,Intermediate,Intermediate,Intermediate,Professional,Poor,Beginner,Poor,Poor,Medical Representative
Average,Poor,Poor,Intermediate,Average,Professional,Beginner,Poor,Professional,Beginner,Average,Beginner,Intermediate,Beginner,Poor,Beginner,Poor,Average,Medical Representative
Professional,Poor,Poor,Average,Poor,Intermediate,Poor,Professional,Intermediate,Average,Average,Average,Professional,Professional,Poor,Poor,Average,Intermediate,Medical Representative
Beginner,Beginner,Average,Professional,Professional,Average,Beginner,Beginner,Average,Professional,Professional,Poor,Professional,Average,Intermediate,Intermediate,Poor,Intermediate,Medical Representative
Beginner,Intermediate,Beginner,Poor,Poor,Average,Average,Intermediate,Beginner,Average,Professional,Beginner,Intermediate,Poor,Poor,Intermediate,Intermediate,Beginner,Medical Representative
Professional,Average,Average,Poor,Poor,Poor,Professional,Beginner,Beginner,Poor,Poor,Poor,Poor,Beginner,Intermediate,Average,Beginner,Intermediate,Medical Representative
Intermediate,Average,Average,Beginner,Beginner,Average,Poor,Intermediate,Professional,Beginner,Beginner,Intermediate,Average,Poor,Beginner,Beginner,Professional,Poor,Medical Representative
Intermediate,Professional,Beginner,Average,Poor,Beginner,Intermediate,Intermediate,Intermediate,Poor,Average,Intermediate,Poor,Professional,Average,Average,Poor,Intermediate,Medical Representative
Beginner,Professional,Beginner,Poor,Professional,Professional,Poor,Intermediate,Average,Professional,Poor,Professional,Average,Poor,Professional,Intermediate,Poor,Beginner,Medical Representative
Beginner,Beginner,Intermediate,Poor,Average,Intermediate,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Poor,Beginner,Average,Beginner,Poor,Medical Representative
Poor,Average,Average,Intermediate,Beginner,Professional,Professional,Professional,Intermediate,Professional,Intermediate,Average,Poor,Professional,Average,Poor,Poor,Poor,Medical Representative
Beginner,Poor,Poor,Average,Beginner,Poor,Professional,Poor,Poor,Average,Professional,Professional,Poor,Professional,Average,Intermediate,Poor,Average,Medical Representative
Poor,Poor,Beginner,Beginner,Beginner,Poor,Intermediate,Poor,Beginner,Intermediate,Poor,Professional,Intermediate,Professional,Average,Average,Professional,Average,Medical Representative
Average,Professional,Intermediate,Beginner,Poor,Average,Beginner,Average,Poor,Beginner,Average,Intermediate,Average,Intermediate,Poor,Professional,Average,Average,Medical Representative
Intermediate,Average,Intermediate,Intermediate,Poor,Professional,Beginner,Poor,Average,Average,Intermediate,Poor,Intermediate,Average,Average,Poor,Poor,Professional,Medical Representative
Intermediate,Professional,Poor,Beginner,Professional,Professional,Intermediate,Beginner,Poor,Intermediate,Intermediate,Average,Intermediate,Average,Average,Poor,Professional,Beginner,Medical Representative
Average,Poor,Professional,Intermediate,Professional,Intermediate,Poor,Professional,Professional,Beginner,Average,Average,Average,Average,Professional,Average,Poor,Average,Medical Representative
Beginner,Beginner,Beginner,Beginner,Poor,Intermediate,Intermediate,Professional,Poor,Average,Poor,Beginner,Average,Professional,Poor,Beginner,Intermediate,Poor,Medical Representative
Intermediate,Intermediate,Intermediate,Poor,Poor,Beginner,Poor,Average,Poor,Poor,Professional,Intermediate,Intermediate,Poor,Intermediate,Average,Intermediate,Average,Medical Representative
Professional,Average,Average,Poor,Professional,Beginner,Beginner,Beginner,Intermediate,Beginner,Poor,Beginner,Intermediate,Average,Average,Poor,Beginner,Intermediate,Medical Representative
Average,Intermediate,Average,Poor,Beginner,Average,Average,Professional,Intermediate,Intermediate,Professional,Beginner,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Professional,Medical Representative
Beginner,Beginner,Average,Poor,Professional,Beginner,Intermediate,Poor,Beginner,Professional,Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Beginner,Average,Medical Representative
Intermediate,Poor,Average,Average,Intermediate,Poor,Beginner,Beginner,Intermediate,Intermediate,Intermediate,Average,Beginner,Professional,Intermediate,Poor,Poor,Average,Medical Representative
Average,Beginner,Average,Beginner,Intermediate,Poor,Intermediate,Average,Beginner,Poor,Beginner,Poor,Beginner,Professional,Beginner,Professional,Beginner,Intermediate,Medical Representative
Poor,Beginner,Average,Poor,Intermediate,Intermediate,Intermediate,Average,Professional,Professional,Intermediate,Beginner,Intermediate,Professional,Average,Poor,Average,Average,Medical Representative
Average,Intermediate,Poor,Intermediate,Poor,Average,Beginner,Intermediate,Beginner,Poor,Intermediate,Average,Intermediate,Average,Professional,Poor,Intermediate,Professional,Medical Representative
Average,Intermediate,Average,Professional,Beginner,Intermediate,Average,Intermediate,Intermediate,Professional,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Medical Representative
Intermediate,Average,Intermediate,Professional,Poor,Poor,Poor,Intermediate,Intermediate,Intermediate,Average,Beginner,Professional,Average,Beginner,Average,Professional,Average,Medical Representative
Poor,Professional,Intermediate,Professional,Average,Poor,Intermediate,Beginner,Professional,Intermediate,Intermediate,Poor,Beginner,Average,Average,Beginner,Beginner,Intermediate,Medical Representative
Average,Poor,Beginner,Professional,Average,Poor,Beginner,Poor,Average,Poor,Professional,Poor,Poor,Beginner,Average,Poor,Beginner,Beginner,Medical Representative
Average,Average,Intermediate,Professional,Poor,Poor,Professional,Intermediate,Beginner,Poor,Professional,Poor,Average,Average,Professional,Intermediate,Average,Average,Medical Representative
Intermediate,Beginner,Intermediate,Professional,Beginner,Beginner,Professional,Intermediate,Average,Average,Professional,Professional,Poor,Average,Intermediate,Poor,Beginner,Beginner,Medical Representative
Poor,Professional,Poor,Beginner,Average,Beginner,Intermediate,Poor,Poor,Average,Average,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Average,Poor,Medical Representative
Poor,Intermediate,Intermediate,Poor,Average,Intermediate,Average,Intermediate,Intermediate,Intermediate,Average,Beginner,Intermediate,Professional,Poor,Beginner,Intermediate,Intermediate,Medical Representative
Beginner,Beginner,Poor,Intermediate,Intermediate,Poor,Average,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Poor,Poor,Beginner,Poor,Average,Intermediate,Medical Representative
Intermediate,Beginner,Professional,Beginner,Professional,Beginner,Intermediate,Poor,Intermediate,Intermediate,Professional,Average,Poor,Beginner,Poor,Beginner,Average,Poor,Medical Representative
Beginner,Professional,Average,Poor,Average,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Professional,Poor,Poor,Beginner,Beginner,Average,Medical Representative
Beginner,Professional,Average,Poor,Poor,Poor,Poor,Professional,Professional,Average,Intermediate,Poor,Average,Beginner,Average,Poor,Beginner,Beginner,Medical Representative
Beginner,Professional,Professional,Intermediate,Poor,Intermediate,Average,Professional,Average,Intermediate,Average,Average,Beginner,Average,Professional,Beginner,Professional,Intermediate,Medical Representative
Professional,Poor,Poor,Professional,Poor,Average,Average,Poor,Beginner,Beginner,Intermediate,Average,Average,Intermediate,Intermediate,Poor,Intermediate,Poor,Medical Representative
Intermediate,Average,Professional,Poor,Professional,Beginner,Beginner,Poor,Poor,Average,Average,Intermediate,Poor,Professional,Professional,Average,Professional,Professional,Medical Representative
Poor,Poor,Poor,Beginner,Poor,Average,Average,Professional,Beginner,Average,Intermediate,Poor,Poor,Average,Poor,Average,Professional,Beginner,Medical Representative
Poor,Average,Average,Average,Average,Beginner,Professional,Professional,Average,Professional,Beginner,Average,Average,Beginner,Average,Beginner,Intermediate,Intermediate,Medical Representative
Intermediate,Professional,Intermediate,Poor,Professional,Poor,Intermediate,Intermediate,Beginner,Poor,Intermediate,Poor,Average,Intermediate,Beginner,Intermediate,Beginner,Intermediate,Medical Representative
Intermediate,Professional,Beginner,Average,Average,Poor,Beginner,Beginner,Beginner,Professional,Beginner,Intermediate,Poor,Average,Average,Intermediate,Beginner,Intermediate,Medical Representative
Intermediate,Professional,Poor,Professional,Average,Average,Beginner,Professional,Poor,Poor,Professional,Poor,Intermediate,Poor,Poor,Intermediate,Intermediate,Beginner,Medical Representative
Beginner,Professional,Poor,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Professional,Intermediate,Poor,Average,Intermediate,Average,Medical Representative
Poor,Professional,Poor,Poor,Professional,Intermediate,Poor,Professional,Poor,Poor,Average,Poor,Beginner,Poor,Poor,Beginner,Beginner,Poor,Medical Representative
Poor,Intermediate,Intermediate,Poor,Professional,Beginner,Intermediate,Beginner,Intermediate,Average,Poor,Average,Intermediate,Beginner,Professional,Intermediate,Professional,Intermediate,Medical Representative
Intermediate,Professional,Poor,Average,Poor,Intermediate,Intermediate,Intermediate,Professional,Average,Average,Poor,Average,Average,Intermediate,Beginner,Intermediate,Poor,Medical Representative
Average,Intermediate,Professional,Professional,Intermediate,Intermediate,Professional,Poor,Average,Beginner,Poor,Beginner,Beginner,Poor,Average,Average,Average,Poor,Medical Representative
Professional,Professional,Professional,Average,Poor,Average,Professional,Average,Average,Beginner,Beginner,Beginner,Professional,Intermediate,Beginner,Intermediate,Poor,Professional,Medical Representative
Professional,Intermediate,Average,Beginner,Intermediate,Intermediate,Poor,Average,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Average,Average,Poor,Average,Beginner,Medical Representative
